1,2,3,4,5
97682,1,5,NL,2020/7/14 17:59
97683,1,52,QF,2020/7/14 18:06
97684,1,46,LZG,2020/7/14 18:08
97685,1,32,LS,2020/7/14 18:14
97686,1,29,LX,2020/7/14 18:14
97687,1,12,GSH,2020/7/14 18:33
97688,1,7,YZQ,2020/7/14 18:39
97689,1,40,LYW,2020/7/14 19:05
97690,1,12,GSH,2020/7/14 19:38
97691,1,11,XM,2020/7/14 21:25
97692,1,51,WAC,2020/7/14 21:30
97693,1,7,YZQ,2020/7/14 21:34
97694,1,13,FWB,2020/7/14 21:37
97695,1,30,LY,2020/7/14 21:37
97696,1,46,LZG,2020/7/14 22:02
97697,1,20,HQ,2020/7/14 22:03
97698,1,45,ZJJ,2020/7/14 22:04
97699,1,52,QF,2020/7/14 22:04
97700,1,12,GSH,2020/7/14 22:15
97701,1,48,QH,2020/7/14 22:16
97702,1,38,XYH,2020/7/14 22:31
97703,1,34,ZQ,2020/7/14 22:34
97704,1,31,ZH,2020/7/14 22:38
97705,1,10,XX,2020/7/14 22:40
97706,1,32,LS,2020/7/14 22:50
97707,1,5,NL,2020/7/14 23:10
97708,1,51,WAC,2020/7/15 7:59
97709,1,29,LX,2020/7/15 7:59
97710,1,38,XYH,2020/7/15 8:02
97711,1,34,ZQ,2020/7/15 8:09
97712,1,11,XM,2020/7/15 8:12
97713,1,13,FWB,2020/7/15 8:14
97714,1,30,LY,2020/7/15 8:14
97715,1,7,YZQ,2020/7/15 8:22
97716,1,40,LYW,2020/7/15 8:23
97717,1,46,LZG,2020/7/15 8:26
97718,1,45,ZJJ,2020/7/15 8:26
97719,1,20,HQ,2020/7/15 8:26
97720,1,31,ZH,2020/7/15 8:31
97721,1,52,QF,2020/7/15 8:34
97722,1,32,LS,2020/7/15 8:35
97723,1,12,GSH,2020/7/15 8:39
97724,1,48,QH,2020/7/15 8:48
97725,1,10,XX,2020/7/15 10:01
97726,1,5,NL,2020/7/15 10:02
97727,1,32,LS,2020/7/15 11:20
97728,1,29,LX,2020/7/15 11:20
97729,1,51,WAC,2020/7/15 11:46
97730,1,46,LZG,2020/7/15 11:48
97731,1,7,YZQ,2020/7/15 11:49
97732,1,12,GSH,2020/7/15 11:50
97733,1,48,QH,2020/7/15 11:52
97734,1,38,XYH,2020/7/15 11:52
97735,1,30,LY,2020/7/15 11:53
97736,1,13,FWB,2020/7/15 11:54
97737,1,11,XM,2020/7/15 11:54
97738,1,52,QF,2020/7/15 11:56
97739,1,31,ZH,2020/7/15 12:10
97740,1,32,LS,2020/7/15 12:11
97741,1,38,XYH,2020/7/15 12:28
97742,1,45,ZJJ,2020/7/15 13:01
97743,1,20,HQ,2020/7/15 13:02
97744,1,34,ZQ,2020/7/15 13:38
97745,1,7,YZQ,2020/7/15 14:06
97746,1,12,GSH,2020/7/15 16:31
97747,1,7,YZQ,2020/7/15 17:30
97748,1,51,WAC,2020/7/15 17:30
97749,1,45,ZJJ,2020/7/15 17:32
97750,1,13,FWB,2020/7/15 17:40
97751,1,30,LY,2020/7/15 17:40
97752,1,12,GSH,2020/7/15 17:40
97753,1,52,QF,2020/7/15 17:43
97754,1,32,LS,2020/7/15 17:47
97755,1,11,XM,2020/7/15 17:52
97756,1,31,ZH,2020/7/15 17:55
97757,1,48,QH,2020/7/15 17:56
97758,1,5,NL,2020/7/15 17:56
97759,1,10,XX,2020/7/15 17:56
97760,1,38,XYH,2020/7/15 18:06
97761,1,46,LZG,2020/7/15 18:08
97762,1,7,YZQ,2020/7/15 18:09
97763,1,12,GSH,2020/7/15 18:30
97764,1,40,LYW,2020/7/15 18:51
97765,1,12,GSH,2020/7/15 19:07
97766,1,11,XM,2020/7/15 20:59
97767,1,52,QF,2020/7/15 21:30
97768,1,29,LX,2020/7/15 21:35
97769,1,13,FWB,2020/7/15 21:37
97770,1,51,WAC,2020/7/15 21:39
97771,1,7,YZQ,2020/7/15 21:43
97772,1,34,ZQ,2020/7/15 22:13
97773,1,30,LY,2020/7/15 22:14
97774,1,12,GSH,2020/7/15 22:20
97775,1,10,XX,2020/7/15 22:30
97776,1,5,NL,2020/7/15 22:33
97777,1,48,QH,2020/7/15 22:43
97778,1,31,ZH,2020/7/15 22:46
97779,1,46,LZG,2020/7/15 23:06
97780,1,32,LS,2020/7/15 23:09
97781,1,38,XYH,2020/7/15 23:56
97782,1,40,LYW,2020/7/16 7:56
97783,1,51,WAC,2020/7/16 8:00
97784,1,31,ZH,2020/7/16 8:08
97785,1,34,ZQ,2020/7/16 8:09
97786,1,11,XM,2020/7/16 8:13
97787,1,48,QH,2020/7/16 8:18
97788,1,7,YZQ,2020/7/16 8:18
97789,1,15,SXJ,2020/7/16 8:23
97790,1,13,FWB,2020/7/16 8:24
97791,1,30,LY,2020/7/16 8:25
97792,1,46,LZG,2020/7/16 8:27
97793,1,45,ZJJ,2020/7/16 8:28
97794,1,52,QF,2020/7/16 8:35
97795,1,29,LX,2020/7/16 8:36
97796,1,38,XYH,2020/7/16 8:38
97797,1,32,LS,2020/7/16 8:38
97798,1,10,XX,2020/7/16 9:14
97799,1,32,LS,2020/7/16 11:20
97800,1,13,FWB,2020/7/16 11:38
97801,1,30,LY,2020/7/16 11:38
97802,1,46,LZG,2020/7/16 11:43
97803,1,51,WAC,2020/7/16 11:44
97804,1,11,XM,2020/7/16 11:44
97805,1,52,QF,2020/7/16 11:45
97806,1,48,QH,2020/7/16 11:47
97807,1,7,YZQ,2020/7/16 11:56
97808,1,45,ZJJ,2020/7/16 11:56
97809,1,32,LS,2020/7/16 11:58
97810,1,29,LX,2020/7/16 11:58
97811,1,31,ZH,2020/7/16 12:05
97812,1,34,ZQ,2020/7/16 12:06
97813,1,38,XYH,2020/7/16 12:15
97814,1,20,HQ,2020/7/16 12:17
97815,1,5,NL,2020/7/16 12:20
97816,1,15,SXJ,2020/7/16 12:21
97817,1,12,GSH,2020/7/16 13:35
97818,1,40,LYW,2020/7/16 13:56
97819,1,7,YZQ,2020/7/16 14:12
97820,1,38,XYH,2020/7/16 14:29
97821,1,5,NL,2020/7/16 15:16
97822,1,13,FWB,2020/7/16 17:20
97823,1,30,LY,2020/7/16 17:21
97824,1,51,WAC,2020/7/16 17:32
97825,1,11,XM,2020/7/16 17:37
97826,1,48,QH,2020/7/16 17:42
97827,1,32,LS,2020/7/16 17:46
97828,1,52,QF,2020/7/16 17:47
97829,1,15,SXJ,2020/7/16 17:48
97830,1,31,ZH,2020/7/16 17:56
97831,1,12,GSH,2020/7/16 18:05
97832,1,7,YZQ,2020/7/16 18:10
97833,1,46,LZG,2020/7/16 18:11
97834,1,38,XYH,2020/7/16 18:11
97835,1,48,QH,2020/7/16 18:21
97836,1,5,NL,2020/7/16 18:25
97837,1,10,XX,2020/7/16 18:25
97838,1,46,LZG,2020/7/16 18:54
97839,1,29,LX,2020/7/16 18:55
97840,1,12,GSH,2020/7/16 18:55
97841,1,40,LYW,2020/7/16 19:02
97842,1,20,HQ,2020/7/16 19:18
97843,1,12,GSH,2020/7/16 20:57
97844,1,11,XM,2020/7/16 21:20
97845,1,51,WAC,2020/7/16 21:36
97846,1,52,QF,2020/7/16 21:37
97847,1,7,YZQ,2020/7/16 21:59
97848,1,20,HQ,2020/7/16 22:02
97849,1,31,ZH,2020/7/16 22:12
97850,1,20,HQ,2020/7/16 22:12
97851,1,13,FWB,2020/7/16 22:31
97852,1,30,LY,2020/7/16 22:31
97853,1,10,XX,2020/7/16 22:36
97854,1,34,ZQ,2020/7/16 22:36
97855,1,46,LZG,2020/7/16 22:54
97856,1,32,LS,2020/7/16 22:59
97857,1,12,GSH,2020/7/16 23:42
97858,1,38,XYH,2020/7/16 23:48
97859,1,38,XYH,2020/7/17 1:27
97860,1,34,ZQ,2020/7/17 7:58
97861,1,51,WAC,2020/7/17 8:04
97862,1,10,XX,2020/7/17 8:12
97863,1,40,LYW,2020/7/17 8:12
97864,1,31,ZH,2020/7/17 8:16
97865,1,11,XM,2020/7/17 8:19
97866,1,46,LZG,2020/7/17 8:21
97867,1,13,FWB,2020/7/17 8:25
97868,1,30,LY,2020/7/17 8:25
97869,1,32,LS,2020/7/17 8:27
97870,1,45,ZJJ,2020/7/17 8:28
97871,1,38,XYH,2020/7/17 8:28
97872,1,7,YZQ,2020/7/17 8:37
97873,1,29,LX,2020/7/17 8:44
97874,1,52,QF,2020/7/17 8:50
97875,1,48,QH,2020/7/17 9:52
97876,1,12,GSH,2020/7/17 10:05
97877,1,32,LS,2020/7/17 11:34
97878,1,20,HQ,2020/7/17 11:34
97879,1,13,FWB,2020/7/17 11:40
97880,1,30,LY,2020/7/17 11:40
97881,1,46,LZG,2020/7/17 11:40
97882,1,51,WAC,2020/7/17 11:44
97883,1,52,QF,2020/7/17 11:48
97884,1,29,LX,2020/7/17 11:48
97885,1,11,XM,2020/7/17 11:49
97886,1,48,QH,2020/7/17 11:55
97887,1,31,ZH,2020/7/17 11:57
97888,1,34,ZQ,2020/7/17 12:12
97889,1,38,XYH,2020/7/17 12:12
97890,1,45,ZJJ,2020/7/17 12:12
97891,1,12,GSH,2020/7/17 12:29
97892,1,48,QH,2020/7/17 12:38
97893,1,20,HQ,2020/7/17 13:54
97894,1,7,YZQ,2020/7/17 14:07
97895,1,12,GSH,2020/7/17 14:08
97896,1,40,LYW,2020/7/17 14:11
97897,1,32,LS,2020/7/17 15:03
97898,1,5,NL,2020/7/17 15:26
97899,1,11,XM,2020/7/17 17:24
97900,1,45,ZJJ,2020/7/17 17:26
97901,1,52,QF,2020/7/17 17:27
97902,1,51,WAC,2020/7/17 17:30
97903,1,31,ZH,2020/7/17 17:35
97904,1,13,FWB,2020/7/17 17:44
97905,1,30,LY,2020/7/17 17:44
97906,1,7,YZQ,2020/7/17 17:45
97907,1,12,GSH,2020/7/17 17:57
97908,1,48,QH,2020/7/17 17:58
97909,1,38,XYH,2020/7/17 18:01
97910,1,51,WAC,2020/7/17 18:03
97911,1,46,LZG,2020/7/17 18:04
97912,1,7,YZQ,2020/7/17 18:08
97913,1,34,ZQ,2020/7/17 18:11
97914,1,12,GSH,2020/7/17 18:29
97915,1,40,LYW,2020/7/17 19:11
97916,1,48,QH,2020/7/17 19:14
97917,1,5,NL,2020/7/17 19:19
97918,1,10,XX,2020/7/17 19:22
97919,1,12,GSH,2020/7/17 21:23
97920,1,20,HQ,2020/7/17 21:35
97921,1,7,YZQ,2020/7/17 21:36
97922,1,51,WAC,2020/7/17 21:38
97923,1,13,FWB,2020/7/17 21:40
97924,1,30,LY,2020/7/17 21:40
97925,1,11,XM,2020/7/17 22:06
97926,1,12,GSH,2020/7/17 22:08
97927,1,52,QF,2020/7/17 22:14
97928,1,34,ZQ,2020/7/17 22:17
97929,1,38,XYH,2020/7/17 22:26
97930,1,48,QH,2020/7/17 22:33
97931,1,45,ZJJ,2020/7/17 22:38
97932,1,31,ZH,2020/7/17 22:51
97933,1,46,LZG,2020/7/17 22:53
97934,1,5,NL,2020/7/18 0:00
97935,1,46,LZG,2020/7/18 8:57
97936,1,34,ZQ,2020/7/18 9:11
97937,1,45,ZJJ,2020/7/18 9:14
97938,1,38,XYH,2020/7/18 10:16
97939,1,12,GSH,2020/7/18 11:42
97940,1,46,LZG,2020/7/18 11:47
97941,1,45,ZJJ,2020/7/18 11:54
97942,1,29,LX,2020/7/18 11:56
97943,1,5,NL,2020/7/18 12:09
97944,1,34,ZQ,2020/7/18 12:12
97945,1,48,QH,2020/7/18 12:40
97946,1,30,LY,2020/7/18 13:08
97947,1,13,FWB,2020/7/18 13:08
97948,1,7,YZQ,2020/7/18 13:08
97949,1,38,XYH,2020/7/18 13:10
97950,1,5,NL,2020/7/18 14:22
97951,1,45,ZJJ,2020/7/18 16:32
97952,1,38,XYH,2020/7/18 17:26
97953,1,46,LZG,2020/7/18 17:35
97954,1,7,YZQ,2020/7/18 17:47
97955,1,30,LY,2020/7/18 17:48
97956,1,13,FWB,2020/7/18 17:48
97957,1,48,QH,2020/7/18 17:57
97958,1,38,XYH,2020/7/18 18:42
97959,1,31,ZH,2020/7/18 19:11
97960,1,5,NL,2020/7/18 20:29
97961,1,13,FWB,2020/7/18 21:54
97962,1,30,LY,2020/7/18 21:54
97963,1,46,LZG,2020/7/18 21:56
97964,1,34,ZQ,2020/7/18 22:16
97965,1,45,ZJJ,2020/7/18 22:31
97966,1,20,HQ,2020/7/18 22:33
97967,1,31,ZH,2020/7/18 23:21
97968,1,12,GSH,2020/7/18 23:44
97969,1,20,HQ,2020/7/19 8:28
97970,1,48,QH,2020/7/19 9:22
97971,1,38,XYH,2020/7/19 9:50
97972,1,29,LX,2020/7/19 11:18
97973,1,10,XX,2020/7/19 11:18
97974,1,48,QH,2020/7/19 12:06
97975,1,38,XYH,2020/7/19 12:08
97976,1,7,YZQ,2020/7/19 12:44
97977,1,48,QH,2020/7/19 12:45
97978,1,5,NL,2020/7/19 13:01
97979,1,52,QF,2020/7/19 13:23
97980,1,45,ZJJ,2020/7/19 14:03
97981,1,12,GSH,2020/7/19 14:29
97982,1,34,ZQ,2020/7/19 15:40
97983,1,5,NL,2020/7/19 17:14
97984,1,52,QF,2020/7/19 17:15
97985,1,51,WAC,2020/7/19 17:29
97986,1,7,YZQ,2020/7/19 17:41
97987,1,45,ZJJ,2020/7/19 17:52
97988,1,34,ZQ,2020/7/19 17:57
97989,1,10,XX,2020/7/19 18:03
97990,1,10,XX,2020/7/19 18:03
97991,1,29,LX,2020/7/19 18:03
97992,1,7,YZQ,2020/7/19 18:16
97993,1,12,GSH,2020/7/19 18:31
97994,1,31,ZH,2020/7/19 18:43
97995,1,12,GSH,2020/7/19 19:34
97996,1,7,YZQ,2020/7/19 20:13
97997,1,48,QH,2020/7/19 21:28
97998,1,51,WAC,2020/7/19 21:29
97999,1,38,XYH,2020/7/19 21:59
98000,1,10,XX,2020/7/19 22:24
98001,1,34,ZQ,2020/7/19 22:38
98002,1,31,ZH,2020/7/19 22:41
98003,1,45,ZJJ,2020/7/19 23:01
98004,1,12,GSH,2020/7/19 23:31
98005,1,5,NL,2020/7/19 23:58
98006,1,40,LYW,2020/7/20 7:47
98007,1,40,LYW,2020/7/20 7:48
98008,1,40,LYW,2020/7/20 7:48
98009,1,51,WAC,2020/7/20 8:00
98010,1,34,ZQ,2020/7/20 8:01
98011,1,38,XYH,2020/7/20 8:02
98012,1,31,ZH,2020/7/20 8:11
98013,1,11,XM,2020/7/20 8:18
98014,1,30,LY,2020/7/20 8:19
98015,1,13,FWB,2020/7/20 8:19
98016,1,45,ZJJ,2020/7/20 8:23
98017,1,7,YZQ,2020/7/20 8:28
98018,1,52,QF,2020/7/20 8:34
98019,1,29,LX,2020/7/20 8:56
98020,1,48,QH,2020/7/20 9:01
98021,1,10,XX,2020/7/20 9:09
98022,1,12,GSH,2020/7/20 9:14
98023,1,7,YZQ,2020/7/20 11:31
98024,1,51,WAC,2020/7/20 11:35
98025,1,32,LS,2020/7/20 11:37
98026,1,29,LX,2020/7/20 11:37
98027,1,13,FWB,2020/7/20 11:37
98028,1,30,LY,2020/7/20 11:37
98029,1,52,QF,2020/7/20 11:41
98030,1,31,ZH,2020/7/20 11:46
98031,1,45,ZJJ,2020/7/20 11:47
98032,1,48,QH,2020/7/20 11:55
98033,1,10,XX,2020/7/20 11:59
98034,1,10,XX,2020/7/20 11:59
98035,1,5,NL,2020/7/20 11:59
98036,1,34,ZQ,2020/7/20 12:03
98037,1,12,GSH,2020/7/20 12:03
98038,1,11,XM,2020/7/20 12:04
98039,1,38,XYH,2020/7/20 12:21
98040,1,40,LYW,2020/7/20 14:04
98041,1,7,YZQ,2020/7/20 14:15
98042,1,5,NL,2020/7/20 15:14
98043,1,32,LS,2020/7/20 16:37
98044,1,29,LX,2020/7/20 17:15
98045,1,37,TS,2020/7/20 17:18
98046,1,13,FWB,2020/7/20 17:23
98047,1,30,LY,2020/7/20 17:24
98048,1,45,ZJJ,2020/7/20 17:24
98049,1,20,HQ,2020/7/20 17:24
98050,1,31,ZH,2020/7/20 17:32
98051,1,52,QF,2020/7/20 17:38
98052,1,51,WAC,2020/7/20 17:39
98053,1,5,NL,2020/7/20 17:41
98054,1,10,XX,2020/7/20 17:42
98055,1,32,LS,2020/7/20 17:47
98056,1,29,LX,2020/7/20 17:47
98057,1,34,ZQ,2020/7/20 17:50
98058,1,40,LYW,2020/7/20 17:50
98059,1,11,XM,2020/7/20 17:57
98060,1,38,XYH,2020/7/20 17:59
98061,1,48,QH,2020/7/20 18:05
98062,1,48,QH,2020/7/20 18:37
98063,1,7,YZQ,2020/7/20 18:47
98064,1,38,XYH,2020/7/20 18:53
98065,1,7,YZQ,2020/7/20 19:22
98066,1,12,GSH,2020/7/20 19:34
98067,1,53,WJ,2020/7/20 20:03
98068,1,40,LYW,2020/7/20 21:03
98069,1,11,XM,2020/7/20 21:19
98070,1,51,WAC,2020/7/20 21:32
98071,1,25,CYR,2020/7/20 21:43
98072,1,52,QF,2020/7/20 21:48
98073,1,53,WJ,2020/7/20 22:02
98074,1,7,YZQ,2020/7/20 22:02
98075,1,37,TS,2020/7/20 22:02
98076,1,13,FWB,2020/7/20 22:26
98077,1,30,LY,2020/7/20 22:26
98078,1,38,XYH,2020/7/20 22:37
98079,1,20,HQ,2020/7/20 22:38
98080,1,45,ZJJ,2020/7/20 22:38
98081,1,34,ZQ,2020/7/20 22:44
98082,1,48,QH,2020/7/20 22:47
98083,1,31,ZH,2020/7/20 22:59
98084,1,10,XX,2020/7/20 23:04
98085,1,5,NL,2020/7/20 23:25
98086,1,32,LS,2020/7/20 23:43
98087,1,12,GSH,2020/7/20 23:43
98088,1,12,GSH,2020/7/20 23:46
98089,1,34,ZQ,2020/7/21 8:01
98090,1,53,WJ,2020/7/21 8:05
98091,1,26,HXY,2020/7/21 8:08
98092,1,37,TS,2020/7/21 8:10
98093,1,25,CYR,2020/7/21 8:14
98094,1,12,GSH,2020/7/21 8:14
98095,1,51,WAC,2020/7/21 8:15
98096,1,103,ZLX,2020/7/21 8:16
98097,1,11,XM,2020/7/21 8:21
98098,1,36,LXQ,2020/7/21 8:22
98099,1,4,WSY,2020/7/21 8:23
98100,1,31,ZH,2020/7/21 8:23
98101,1,45,ZJJ,2020/7/21 8:24
98102,1,20,HQ,2020/7/21 8:24
98103,1,13,FWB,2020/7/21 8:24
98104,1,30,LY,2020/7/21 8:25
98105,1,7,YZQ,2020/7/21 8:25
98106,1,38,XYH,2020/7/21 8:25
98107,1,40,LYW,2020/7/21 8:25
98108,1,48,QH,2020/7/21 8:28
98109,1,50,PQ,2020/7/21 8:33
98110,1,32,LS,2020/7/21 8:35
98111,1,12,GSH,2020/7/21 8:39
98112,1,49,CHZ,2020/7/21 8:57
98113,1,52,QF,2020/7/21 9:01
98114,1,12,GSH,2020/7/21 9:19
98115,1,10,XX,2020/7/21 9:25
98116,1,29,LX,2020/7/21 10:59
98117,1,38,XYH,2020/7/21 11:20
98118,1,20,HQ,2020/7/21 11:22
98119,1,32,LS,2020/7/21 11:27
98120,1,53,WJ,2020/7/21 11:28
98121,1,31,ZH,2020/7/21 11:29
98122,1,11,XM,2020/7/21 11:29
98123,1,40,LYW,2020/7/21 11:30
98124,1,25,CYR,2020/7/21 11:30
98125,1,34,ZQ,2020/7/21 11:30
98126,1,103,ZLX,2020/7/21 11:31
98127,1,36,LXQ,2020/7/21 11:34
98128,1,51,WAC,2020/7/21 11:36
98129,1,12,GSH,2020/7/21 11:41
98130,1,7,YZQ,2020/7/21 11:42
98131,1,48,QH,2020/7/21 11:44
98132,1,13,FWB,2020/7/21 11:45
98133,1,30,LY,2020/7/21 11:45
98134,1,45,ZJJ,2020/7/21 11:45
98135,1,37,TS,2020/7/21 11:46
98136,1,29,LX,2020/7/21 11:46
98137,1,32,LS,2020/7/21 11:47
98138,1,10,XX,2020/7/21 11:48
98139,1,49,CHZ,2020/7/21 11:48
98140,1,11,XM,2020/7/21 11:56
98141,1,34,ZQ,2020/7/21 11:59
98142,1,52,QF,2020/7/21 11:59
98143,1,4,WSY,2020/7/21 12:10
98144,1,38,XYH,2020/7/21 12:24
98145,1,5,NL,2020/7/21 12:31
98146,1,10,XX,2020/7/21 12:31
98147,1,49,CHZ,2020/7/21 12:33
98148,1,49,CHZ,2020/7/21 12:40
98149,1,32,LS,2020/7/21 12:51
98150,1,40,LYW,2020/7/21 14:07
98151,1,7,YZQ,2020/7/21 14:13
98152,1,53,WJ,2020/7/21 14:15
98153,1,50,PQ,2020/7/21 14:29
98154,1,12,GSH,2020/7/21 16:19
98155,1,45,ZJJ,2020/7/21 17:19
98156,1,20,HQ,2020/7/21 17:19
98157,1,4,WSY,2020/7/21 17:21
98158,1,11,XM,2020/7/21 17:29
98159,1,50,PQ,2020/7/21 17:31
98160,1,51,WAC,2020/7/21 17:33
98161,1,32,LS,2020/7/21 17:33
98162,1,31,ZH,2020/7/21 17:35
98163,1,40,LYW,2020/7/21 17:36
98164,1,25,CYR,2020/7/21 17:36
98165,1,13,FWB,2020/7/21 17:38
98166,1,30,LY,2020/7/21 17:38
98167,1,26,HXY,2020/7/21 17:41
98168,1,53,WJ,2020/7/21 17:41
98169,1,103,ZLX,2020/7/21 17:41
98170,1,7,YZQ,2020/7/21 17:45
98171,1,36,LXQ,2020/7/21 17:49
98172,1,12,GSH,2020/7/21 17:50
98173,1,52,QF,2020/7/21 17:53
98174,1,32,LS,2020/7/21 18:00
98175,1,29,LX,2020/7/21 18:00
98176,1,25,CYR,2020/7/21 18:03
98177,1,40,LYW,2020/7/21 18:03
98178,1,10,XX,2020/7/21 18:05
98179,1,49,CHZ,2020/7/21 18:05
98180,1,5,NL,2020/7/21 18:05
98181,1,48,QH,2020/7/21 18:06
98182,1,34,ZQ,2020/7/21 18:08
98183,1,7,YZQ,2020/7/21 18:16
98184,1,12,GSH,2020/7/21 18:25
98185,1,12,GSH,2020/7/21 18:28
98186,1,53,WJ,2020/7/21 18:39
98187,1,38,XYH,2020/7/21 19:02
98188,1,37,TS,2020/7/21 19:23
98189,1,26,HXY,2020/7/21 21:05
98190,1,40,LYW,2020/7/21 21:12
